Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,team,match_url,id
Vitor Reis,12.0,br BRA,DF,19-215,33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Ladislav Krejčí,18.0,cz CZE,CB,26-117,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
David López,5.0,es ESP,CB,35-310,90,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Arnau Martinez,4.0,es ESP,RB,22-112,57,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Hugo Rincón,2.0,es ESP,"DF,MF",22-200,33,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Paulo Gazzaniga,13.0,ar ARG,GK,33-225,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
16 Players,,,,,942,1,1,0,0,7,2,0,1,8,16,1,12,9,3,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Jorge de Frutos,19.0,es ESP,FW,28-176,80,1,1,0,0,2,1,0,0,4,2,0,0,1,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Randy Nteka,11.0,ao ANG,"FW,MF",27-252,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Álvaro García,18.0,es ESP,AM,32-292,84,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Alfonso Espino,22.0,uy URU,DF,33-222,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Pedro Díaz,4.0,es ESP,AM,27-071,69,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Gerard Gumbau,15.0,es ESP,MF,30-240,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Isaac Palazón Camacho,7.0,es ESP,AM,30-231,90,1,0,1,1,2,1,0,0,0,1,0,5,1,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Unai López,17.0,es ESP,DM,29-289,80,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Óscar Valentín,23.0,es ESP,MF,30-360,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Pathé Ciss,6.0,sn SEN,DM,31-152,90,0,0,0,0,2,2,0,0,2,0,1,0,1,2,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Pep Chavarría,3.0,es ESP,LB,27-127,90,0,0,0,0,2,0,0,0,1,3,0,2,0,2,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Luiz Felipe,5.0,it ITA,CB,28-146,45,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Pelayo Fernandez,27.0,es ESP,DF,22-108,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Florian Lejeune,24.0,fr FRA,CB,34-087,90,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Andrei Ratiu,2.0,ro ROU,RB,27-056,90,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Augusto Batalla,13.0,ar ARG,GK,29-107,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
16 Players,,,,,990,3,1,1,1,16,5,1,0,17,8,1,14,13,8,0,,,98e8af82_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Karl Etta Eyong,29.0,cm CMR,FW,21-305,90,1,0,0,0,2,1,0,0,1,2,0,0,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Gerard Moreno,7.0,es ESP,FW,33-130,46,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Tajon Buchanan,17.0,ca CAN,"DF,MF",26-188,44,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Yeremi Pino,21.0,es ESP,LM,22-299,90,0,0,0,0,2,1,0,0,1,0,0,7,0,2,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Pape Gueye,18.0,sn SEN,CM,26-203,69,1,0,0,0,4,2,0,0,1,3,0,1,3,1,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Daniel Parejo,10.0,es ESP,MF,36-121,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Santi Comesaña,14.0,es ESP,CM,28-314,81,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Thomas Partey,16.0,gh GHA,"DF,MF",32-063,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Nicolas Pépé,19.0,ci CIV,RM,30-078,81,0,1,0,0,4,4,0,0,0,0,0,6,2,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Alfonso Pedraza,24.0,es ESP,"DF,FW",29-128,9,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Sergi Cardona,23.0,es ESP,LB,26-038,90,0,0,0,0,3,0,0,0,0,0,0,8,3,1,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Rafa Marín,4.0,es ESP,CB,23-088,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Juan Foyth,8.0,ar ARG,CB,27-215,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Alberto Moleiro,20.0,es ESP,MF,21-319,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Santiago Mouriño,15.0,uy URU,RB,23-183,90,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Luiz Lúcio Reis Júnior,1.0,br BRA,GK,24-213,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
16 Players,,,,,990,2,1,0,0,25,10,1,0,10,8,0,32,9,14,0,,,2a8183b3_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Salomón Rondón,23.0,ve VEN,FW,35-333,62,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Federico Viñas,9.0,uy URU,FW,27-046,28,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Ilyas Chaira,7.0,ma MAR,AM,24-194,76,0,0,0,0,2,2,0,0,2,3,0,0,1,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Omar Falah,29.0,es ESP,DF,21-340,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Luka Ilić,21.0,rs SRB,AM,26-044,76,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Borja Sánchez Laborde,16.0,es ESP,MF,29-170,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Haissem Hassan,10.0,fr FRA,AM,23-188,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Marco Esteban,30.0,es ESP,DF,19-226,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Alberto Reina,5.0,es ESP,DM,27-340,26,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Kwasi Sibo,6.0,gh GHA,DM,27-052,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Rahim Bonkano,3.0,ne NIG,LB,23-226,84,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Santi Cazorla,8.0,es ESP,MF,40-245,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Dani Calvo,12.0,es ESP,CB,31-136,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Oier Luengo,15.0,es ESP,CB,27-277,90,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Nacho Vidal,22.0,es ESP,RB,30-203,90,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Aarón Escandell,13.0,es ESP,GK,29-322,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
16 Players,,,,,926,0,0,0,1,5,4,2,1,8,7,1,4,7,3,0,,,ab358912_summary,https://fbref.com/en/matches/094ea75e/Villarreal-Oviedo-August-15-2025-La-Liga,127040197594831
Vedat Muriqi,7.0,xk KVX,FW,31-114,38,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Sergi Darder,10.0,es ESP,AM,31-237,82,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Jan Salas,28.0,es ESP,MF,20-006,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Pablo Torre,20.0,es ESP,AM,22-135,45,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Dani Rodríguez,14.0,es ESP,"FW,MF",37-071,45,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Takuma Asano,11.0,jp JPN,AM,30-279,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Mateo Joseph,18.0,es ESP,FW,21-301,45,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Antonio Sánchez,6.0,es ESP,DM,28-227,90,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Manu Morlanes,8.0,es ESP,DM,26-216,32,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Johan Mojica,22.0,co COL,LB,32-360,89,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Toni Lato,3.0,es ESP,DF,27-268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Antonio Raillo,21.0,es ESP,CB,33-312,90,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Martin Valjent,24.0,sk SVK,CB,29-248,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Mateu Morey,2.0,es ESP,RB,25-167,45,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Omar Mascarell,5.0,gq EQG,MF,32-195,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Leo Román,1.0,es ESP,GK,25-041,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
16 Players,,,,,880,0,0,0,0,4,1,4,2,8,17,2,9,3,6,0,,,2aa12281_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Ferrán Torres,7.0,es ESP,FW,25-168,68,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Marcus Rashford,14.0,eng ENG,"FW,MF",27-289,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Raphinha,11.0,br BRA,AM,28-245,76,1,0,0,0,3,1,1,0,1,1,0,1,0,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Jules Koundé,23.0,fr FRA,DF,26-277,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Fermin López,16.0,es ESP,AM,22-097,45,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Dani Olmo,20.0,es ESP,"FW,MF",27-101,45,0,0,0,0,5,1,0,0,1,1,0,0,1,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Lamine Yamal,10.0,es ESP,AM,18-034,90,1,1,0,0,9,3,0,0,3,1,2,4,1,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Pedri,8.0,es ESP,DM,22-264,90,0,0,0,0,2,1,0,0,0,1,0,0,2,1,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Frenkie de Jong,21.0,nl NED,DM,28-096,90,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Alejandro Balde,3.0,es ESP,LB,21-302,67,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Jofre Torrents,26.0,es ESP,DF,18-200,23,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Pau Cubarsí,5.0,es ESP,CB,18-206,68,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Gavi,6.0,es ESP,"FW,MF",21-011,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Ronald Araújo,4.0,uy URU,CB,26-162,90,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Eric García,24.0,es ESP,RB,24-219,90,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Joan García,13.0,es ESP,GK,24-104,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
16 Players,,,,,990,3,2,0,0,24,8,1,0,17,8,3,9,11,6,0,,,206d90db_summary,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,51663335405182
Toni Martínez,11.0,es ESP,FW,28-047,90,1,0,0,0,4,1,0,0,2,1,0,0,0,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Carles Aleñá,10.0,es ESP,LW,27-223,89,0,1,0,0,2,0,0,0,3,0,0,8,1,1,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Ander Guevara,6.0,es ESP,MF,28-040,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Pablo Ibáñez,19.0,es ESP,AM,26-330,76,0,0,0,0,1,0,0,0,2,3,0,3,0,1,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Mariano,9.0,do DOM,FW,32-015,14,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Jon Guridi,18.0,es ESP,AM,30-169,76,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Abde Rebbach,21.0,dz ALG,MF,27-005,14,0,0,0,0,2,1,0,0,0,1,0,2,0,1,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Carlos Vicente,7.0,es ESP,RW,26-115,85,0,0,0,0,1,0,0,0,1,3,0,8,2,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Calebe,20.0,br BRA,MF,25-108,5,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Antonio Blanco,8.0,es ESP,DM,25-024,90,0,0,0,0,1,0,0,0,1,0,0,4,1,4,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Victor Parada,24.0,es ESP,LB,23-134,89,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Youssef Lekhedim,3.0,es ESP,DF,19-313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
Nahuel Tenaglia,14.0,ar ARG,CB,29-176,90,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,,,8d6fd021_summary,https://fbref.com/en/matches/a0d1ca80/Alaves-Levante-August-16-2025-La-Liga,45932207628643
